Start at 21:36:52
Epoch [1/100], Loss: 1.8509, Accuracy: 0.2871
Accuracy of class angry : 15.90%
Accuracy of class disgust : 4.82%
Accuracy of class fear : 13.62%
Accuracy of class happy : 44.15%
Accuracy of class neutral : 29.35%
Accuracy of class sad : 22.90%
Accuracy of class surprise : 40.32%
Epoch [2/100], Loss: 1.5828, Accuracy: 0.4028
Accuracy of class angry : 16.36%
Accuracy of class disgust : 2.52%
Accuracy of class fear : 14.58%
Accuracy of class happy : 56.68%
Accuracy of class neutral : 35.22%
Accuracy of class sad : 26.29%
Accuracy of class surprise : 48.31%
Epoch [3/100], Loss: 1.4226, Accuracy: 0.4633
Accuracy of class angry : 20.04%
Accuracy of class disgust : 1.99%
Accuracy of class fear : 16.62%
Accuracy of class happy : 62.68%
Accuracy of class neutral : 38.84%
Accuracy of class sad : 29.96%
Accuracy of class surprise : 51.95%
Epoch [4/100], Loss: 1.3198, Accuracy: 0.5037
Accuracy of class angry : 23.93%
Accuracy of class disgust : 1.72%
Accuracy of class fear : 18.37%
Accuracy of class happy : 66.46%
Accuracy of class neutral : 41.51%
Accuracy of class sad : 32.90%
Accuracy of class surprise : 54.55%
Epoch [5/100], Loss: 1.2389, Accuracy: 0.5330
Accuracy of class angry : 27.24%
Accuracy of class disgust : 1.74%
Accuracy of class fear : 19.97%
Accuracy of class happy : 69.02%
Accuracy of class neutral : 43.57%
Accuracy of class sad : 35.52%
Accuracy of class surprise : 56.76%
Epoch [6/100], Loss: 1.1812, Accuracy: 0.5544
Accuracy of class angry : 29.77%
Accuracy of class disgust : 3.29%
Accuracy of class fear : 21.41%
Accuracy of class happy : 71.08%
Accuracy of class neutral : 45.35%
Accuracy of class sad : 37.59%
Accuracy of class surprise : 58.45%
Epoch [7/100], Loss: 1.1160, Accuracy: 0.5801
Accuracy of class angry : 32.22%
Accuracy of class disgust : 4.65%
Accuracy of class fear : 22.83%
Accuracy of class happy : 72.81%
Accuracy of class neutral : 46.95%
Accuracy of class sad : 39.44%
Accuracy of class surprise : 59.97%
Epoch [8/100], Loss: 1.0674, Accuracy: 0.5974
Accuracy of class angry : 34.55%
Accuracy of class disgust : 6.57%
Accuracy of class fear : 24.11%
Accuracy of class happy : 74.12%
Accuracy of class neutral : 48.28%
Accuracy of class sad : 41.07%
Accuracy of class surprise : 61.41%
Epoch [9/100], Loss: 1.0171, Accuracy: 0.6196
Accuracy of class angry : 36.53%
Accuracy of class disgust : 8.69%
Accuracy of class fear : 25.60%
Accuracy of class happy : 75.31%
Accuracy of class neutral : 49.71%
Accuracy of class sad : 42.54%
Accuracy of class surprise : 62.52%
Epoch [10/100], Loss: 0.9744, Accuracy: 0.6378
Accuracy of class angry : 38.38%
Accuracy of class disgust : 11.06%
Accuracy of class fear : 27.15%
Accuracy of class happy : 76.35%
Accuracy of class neutral : 50.97%
Accuracy of class sad : 43.78%
Accuracy of class surprise : 63.73%
Epoch [11/100], Loss: 0.9204, Accuracy: 0.6601
Accuracy of class angry : 40.07%
Accuracy of class disgust : 13.62%
Accuracy of class fear : 28.68%
Accuracy of class happy : 77.34%
Accuracy of class neutral : 52.19%
Accuracy of class sad : 45.09%
Accuracy of class surprise : 64.80%
Epoch [12/100], Loss: 0.8716, Accuracy: 0.6739
Accuracy of class angry : 41.71%
Accuracy of class disgust : 16.07%
Accuracy of class fear : 30.09%
Accuracy of class happy : 78.20%
Accuracy of class neutral : 53.31%
Accuracy of class sad : 46.27%
Accuracy of class surprise : 65.85%
Epoch [13/100], Loss: 0.8202, Accuracy: 0.6950
Accuracy of class angry : 43.25%
Accuracy of class disgust : 18.79%
Accuracy of class fear : 31.71%
Accuracy of class happy : 78.95%
Accuracy of class neutral : 54.42%
Accuracy of class sad : 47.37%
Accuracy of class surprise : 66.94%
Epoch [14/100], Loss: 0.7675, Accuracy: 0.7157
Accuracy of class angry : 44.76%
Accuracy of class disgust : 21.46%
Accuracy of class fear : 33.29%
Accuracy of class happy : 79.69%
Accuracy of class neutral : 55.49%
Accuracy of class sad : 48.55%
Accuracy of class surprise : 67.90%
Epoch [15/100], Loss: 0.7183, Accuracy: 0.7348
Accuracy of class angry : 46.26%
Accuracy of class disgust : 23.85%
Accuracy of class fear : 34.89%
Accuracy of class happy : 80.37%
Accuracy of class neutral : 56.59%
Accuracy of class sad : 49.66%
Accuracy of class surprise : 68.84%
Epoch [16/100], Loss: 0.6597, Accuracy: 0.7584
Accuracy of class angry : 47.68%
Accuracy of class disgust : 26.06%
Accuracy of class fear : 36.59%
Accuracy of class happy : 81.05%
Accuracy of class neutral : 57.70%
Accuracy of class sad : 50.83%
Accuracy of class surprise : 69.71%
Epoch [17/100], Loss: 0.6085, Accuracy: 0.7759
Accuracy of class angry : 49.13%
Accuracy of class disgust : 28.52%
Accuracy of class fear : 38.22%
Accuracy of class happy : 81.68%
Accuracy of class neutral : 58.77%
Accuracy of class sad : 51.98%
Accuracy of class surprise : 70.56%
Epoch [18/100], Loss: 0.5604, Accuracy: 0.7957
Accuracy of class angry : 50.52%
Accuracy of class disgust : 30.71%
Accuracy of class fear : 39.85%
Accuracy of class happy : 82.27%
Accuracy of class neutral : 59.88%
Accuracy of class sad : 53.15%
Accuracy of class surprise : 71.44%
Epoch [19/100], Loss: 0.5182, Accuracy: 0.8090
Accuracy of class angry : 51.89%
Accuracy of class disgust : 32.97%
Accuracy of class fear : 41.41%
Accuracy of class happy : 82.82%
Accuracy of class neutral : 60.92%
Accuracy of class sad : 54.26%
Accuracy of class surprise : 72.26%
Epoch [20/100], Loss: 0.4795, Accuracy: 0.8258
Accuracy of class angry : 53.22%
Accuracy of class disgust : 35.05%
Accuracy of class fear : 42.99%
Accuracy of class happy : 83.33%
Accuracy of class neutral : 61.99%
Accuracy of class sad : 55.37%
Accuracy of class surprise : 73.03%
Epoch [21/100], Loss: 0.4429, Accuracy: 0.8361
Accuracy of class angry : 54.51%
Accuracy of class disgust : 37.15%
Accuracy of class fear : 44.45%
Accuracy of class happy : 83.83%
Accuracy of class neutral : 62.95%
Accuracy of class sad : 56.48%
Accuracy of class surprise : 73.73%
Epoch [22/100], Loss: 0.4275, Accuracy: 0.8435
Accuracy of class angry : 55.69%
Accuracy of class disgust : 39.11%
Accuracy of class fear : 45.91%
Accuracy of class happy : 84.28%
Accuracy of class neutral : 63.84%
Accuracy of class sad : 57.51%
Accuracy of class surprise : 74.43%
Epoch [23/100], Loss: 0.3889, Accuracy: 0.8591
Accuracy of class angry : 56.82%
Accuracy of class disgust : 40.91%
Accuracy of class fear : 47.37%
Accuracy of class happy : 84.73%
Accuracy of class neutral : 64.73%
Accuracy of class sad : 58.55%
Accuracy of class surprise : 75.09%
Epoch [24/100], Loss: 0.3619, Accuracy: 0.8686
Accuracy of class angry : 57.95%
Accuracy of class disgust : 42.73%
Accuracy of class fear : 48.69%
Accuracy of class happy : 85.14%
Accuracy of class neutral : 65.60%
Accuracy of class sad : 59.56%
Accuracy of class surprise : 75.77%
Epoch [25/100], Loss: 0.3423, Accuracy: 0.8746
Accuracy of class angry : 59.01%
Accuracy of class disgust : 44.31%
Accuracy of class fear : 50.00%
Accuracy of class happy : 85.53%
Accuracy of class neutral : 66.44%
Accuracy of class sad : 60.52%
Accuracy of class surprise : 76.35%
Epoch [26/100], Loss: 0.3211, Accuracy: 0.8839
Accuracy of class angry : 60.05%
Accuracy of class disgust : 45.96%
Accuracy of class fear : 51.25%
Accuracy of class happy : 85.89%
Accuracy of class neutral : 67.25%
Accuracy of class sad : 61.45%
Accuracy of class surprise : 76.92%
Epoch [27/100], Loss: 0.3028, Accuracy: 0.8925
Accuracy of class angry : 61.05%
Accuracy of class disgust : 47.49%
Accuracy of class fear : 52.45%
Accuracy of class happy : 86.25%
Accuracy of class neutral : 68.02%
Accuracy of class sad : 62.36%
Accuracy of class surprise : 77.49%
Epoch [28/100], Loss: 0.2791, Accuracy: 0.9021
Accuracy of class angry : 62.05%
Accuracy of class disgust : 48.98%
Accuracy of class fear : 53.61%
Accuracy of class happy : 86.59%
Accuracy of class neutral : 68.77%
Accuracy of class sad : 63.25%
Accuracy of class surprise : 78.03%
Epoch [29/100], Loss: 0.2669, Accuracy: 0.9046
Accuracy of class angry : 62.94%
Accuracy of class disgust : 50.37%
Accuracy of class fear : 54.71%
Accuracy of class happy : 86.90%
Accuracy of class neutral : 69.51%
Accuracy of class sad : 64.09%
Accuracy of class surprise : 78.53%
Epoch [30/100], Loss: 0.2477, Accuracy: 0.9109
Accuracy of class angry : 63.83%
Accuracy of class disgust : 51.64%
Accuracy of class fear : 55.78%
Accuracy of class happy : 87.21%
Accuracy of class neutral : 70.20%
Accuracy of class sad : 64.91%
Accuracy of class surprise : 79.02%
Epoch [31/100], Loss: 0.2422, Accuracy: 0.9143
Accuracy of class angry : 64.64%
Accuracy of class disgust : 52.82%
Accuracy of class fear : 56.78%
Accuracy of class happy : 87.51%
Accuracy of class neutral : 70.85%
Accuracy of class sad : 65.68%
Accuracy of class surprise : 79.51%
Epoch [32/100], Loss: 0.2335, Accuracy: 0.9169
Accuracy of class angry : 65.44%
Accuracy of class disgust : 53.96%
Accuracy of class fear : 57.72%
Accuracy of class happy : 87.78%
Accuracy of class neutral : 71.49%
Accuracy of class sad : 66.43%
Accuracy of class surprise : 79.95%
Epoch [33/100], Loss: 0.2244, Accuracy: 0.9207
Accuracy of class angry : 66.18%
Accuracy of class disgust : 55.03%
Accuracy of class fear : 58.67%
Accuracy of class happy : 88.05%
Accuracy of class neutral : 72.09%
Accuracy of class sad : 67.13%
Accuracy of class surprise : 80.37%
Epoch [34/100], Loss: 0.2110, Accuracy: 0.9257
Accuracy of class angry : 66.92%
Accuracy of class disgust : 56.08%
Accuracy of class fear : 59.56%
Accuracy of class happy : 88.30%
Accuracy of class neutral : 72.67%
Accuracy of class sad : 67.82%
Accuracy of class surprise : 80.77%
Epoch [35/100], Loss: 0.1958, Accuracy: 0.9298
Accuracy of class angry : 67.62%
Accuracy of class disgust : 57.05%
Accuracy of class fear : 60.40%
Accuracy of class happy : 88.56%
Accuracy of class neutral : 73.23%
Accuracy of class sad : 68.49%
Accuracy of class surprise : 81.17%
