Start at 03:05:50
Epoch [1/20], Loss: 0.2550, Accuracy: 0.2664
Accuracy of class angry : 0.70%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 1.76%
Accuracy of class happy : 87.19%
Accuracy of class neutral : 5.82%
Accuracy of class sad : 13.67%
Accuracy of class surprise : 9.65%
Epoch [2/20], Loss: 0.2418, Accuracy: 0.3246
Accuracy of class angry : 4.79%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 5.37%
Accuracy of class happy : 72.28%
Accuracy of class neutral : 20.31%
Accuracy of class sad : 26.07%
Accuracy of class surprise : 44.86%
Epoch [3/20], Loss: 0.2313, Accuracy: 0.3696
Accuracy of class angry : 7.05%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 9.67%
Accuracy of class happy : 73.47%
Accuracy of class neutral : 31.71%
Accuracy of class sad : 29.30%
Accuracy of class surprise : 51.74%
Epoch [4/20], Loss: 0.2233, Accuracy: 0.3954
Accuracy of class angry : 11.89%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 11.30%
Accuracy of class happy : 73.84%
Accuracy of class neutral : 38.90%
Accuracy of class sad : 29.82%
Accuracy of class surprise : 53.97%
Epoch [5/20], Loss: 0.2155, Accuracy: 0.4201
Accuracy of class angry : 17.40%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 13.40%
Accuracy of class happy : 74.76%
Accuracy of class neutral : 44.12%
Accuracy of class sad : 30.79%
Accuracy of class surprise : 55.02%
Epoch [6/20], Loss: 0.2085, Accuracy: 0.4368
Accuracy of class angry : 22.47%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 16.33%
Accuracy of class happy : 75.20%
Accuracy of class neutral : 44.86%
Accuracy of class sad : 31.97%
Accuracy of class surprise : 55.99%
Epoch [7/20], Loss: 0.2018, Accuracy: 0.4586
Accuracy of class angry : 26.53%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 19.58%
Accuracy of class happy : 76.74%
Accuracy of class neutral : 46.70%
Accuracy of class sad : 33.38%
Accuracy of class surprise : 57.89%
Epoch [8/20], Loss: 0.1956, Accuracy: 0.4778
Accuracy of class angry : 30.27%
Accuracy of class disgust : 0.23%
Accuracy of class fear : 21.70%
Accuracy of class happy : 77.27%
Accuracy of class neutral : 48.45%
Accuracy of class sad : 36.22%
Accuracy of class surprise : 59.53%
Epoch [9/20], Loss: 0.1892, Accuracy: 0.4923
Accuracy of class angry : 32.42%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 24.36%
Accuracy of class happy : 78.49%
Accuracy of class neutral : 48.87%
Accuracy of class sad : 37.27%
Accuracy of class surprise : 61.45%
Epoch [10/20], Loss: 0.1830, Accuracy: 0.5145
Accuracy of class angry : 36.41%
Accuracy of class disgust : 0.69%
Accuracy of class fear : 27.22%
Accuracy of class happy : 79.17%
Accuracy of class neutral : 51.27%
Accuracy of class sad : 39.68%
Accuracy of class surprise : 63.82%
Epoch [11/20], Loss: 0.1765, Accuracy: 0.5325
Accuracy of class angry : 39.67%
Accuracy of class disgust : 3.67%
Accuracy of class fear : 28.83%
Accuracy of class happy : 79.37%
Accuracy of class neutral : 52.78%
Accuracy of class sad : 43.03%
Accuracy of class surprise : 65.55%
Epoch [12/20], Loss: 0.1695, Accuracy: 0.5541
Accuracy of class angry : 43.76%
Accuracy of class disgust : 8.26%
Accuracy of class fear : 31.80%
Accuracy of class happy : 80.55%
Accuracy of class neutral : 54.19%
Accuracy of class sad : 44.85%
Accuracy of class surprise : 67.82%
Epoch [13/20], Loss: 0.1628, Accuracy: 0.5740
Accuracy of class angry : 46.09%
Accuracy of class disgust : 11.47%
Accuracy of class fear : 34.32%
Accuracy of class happy : 81.30%
Accuracy of class neutral : 56.67%
Accuracy of class sad : 47.21%
Accuracy of class surprise : 70.06%
Epoch [14/20], Loss: 0.1553, Accuracy: 0.5951
Accuracy of class angry : 49.40%
Accuracy of class disgust : 17.20%
Accuracy of class fear : 37.39%
Accuracy of class happy : 82.48%
Accuracy of class neutral : 57.61%
Accuracy of class sad : 49.70%
Accuracy of class surprise : 72.27%
Epoch [15/20], Loss: 0.1479, Accuracy: 0.6207
Accuracy of class angry : 51.78%
Accuracy of class disgust : 21.33%
Accuracy of class fear : 41.15%
Accuracy of class happy : 83.74%
Accuracy of class neutral : 61.04%
Accuracy of class sad : 53.37%
Accuracy of class surprise : 73.25%
Epoch [16/20], Loss: 0.1398, Accuracy: 0.6411
Accuracy of class angry : 54.91%
Accuracy of class disgust : 27.29%
Accuracy of class fear : 44.72%
Accuracy of class happy : 84.59%
Accuracy of class neutral : 62.81%
Accuracy of class sad : 55.50%
Accuracy of class surprise : 74.38%
Epoch [17/20], Loss: 0.1308, Accuracy: 0.6655
Accuracy of class angry : 57.80%
Accuracy of class disgust : 31.65%
Accuracy of class fear : 49.08%
Accuracy of class happy : 85.90%
Accuracy of class neutral : 64.42%
Accuracy of class sad : 58.02%
Accuracy of class surprise : 77.19%
Epoch [18/20], Loss: 0.1210, Accuracy: 0.6929
Accuracy of class angry : 60.91%
Accuracy of class disgust : 38.99%
Accuracy of class fear : 53.36%
Accuracy of class happy : 87.23%
Accuracy of class neutral : 67.04%
Accuracy of class sad : 61.44%
Accuracy of class surprise : 79.27%
Epoch [19/20], Loss: 0.1111, Accuracy: 0.7170
Accuracy of class angry : 63.57%
Accuracy of class disgust : 41.51%
Accuracy of class fear : 58.12%
Accuracy of class happy : 88.55%
Accuracy of class neutral : 68.65%
Accuracy of class sad : 64.53%
Accuracy of class surprise : 81.01%
Epoch [20/20], Loss: 0.1002, Accuracy: 0.7516
Accuracy of class angry : 67.53%
