Start at 03:50:12
Epoch [1/20], Loss: 1.6841, Accuracy: 0.3249
Accuracy of class angry : 4.21%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 6.10%
Accuracy of class happy : 73.01%
Accuracy of class neutral : 24.80%
Accuracy of class sad : 23.77%
Accuracy of class surprise : 39.72%
Epoch [2/20], Loss: 1.4553, Accuracy: 0.4400
Accuracy of class angry : 21.92%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 15.55%
Accuracy of class happy : 75.41%
Accuracy of class neutral : 47.00%
Accuracy of class sad : 31.27%
Accuracy of class surprise : 57.79%
Epoch [3/20], Loss: 1.3104, Accuracy: 0.5016
Accuracy of class angry : 34.23%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 22.77%
Accuracy of class happy : 77.64%
Accuracy of class neutral : 50.56%
Accuracy of class sad : 40.80%
Accuracy of class surprise : 63.60%
Epoch [4/20], Loss: 1.2041, Accuracy: 0.5440
Accuracy of class angry : 41.27%
Accuracy of class disgust : 5.50%
Accuracy of class fear : 25.70%
Accuracy of class happy : 80.16%
Accuracy of class neutral : 52.96%
Accuracy of class sad : 48.60%
Accuracy of class surprise : 67.19%
Epoch [5/20], Loss: 1.1162, Accuracy: 0.5775
Accuracy of class angry : 45.39%
Accuracy of class disgust : 14.68%
Accuracy of class fear : 30.61%
Accuracy of class happy : 82.03%
Accuracy of class neutral : 56.81%
Accuracy of class sad : 50.84%
Accuracy of class surprise : 71.04%
Epoch [6/20], Loss: 1.0331, Accuracy: 0.6139
Accuracy of class angry : 50.48%
Accuracy of class disgust : 25.69%
Accuracy of class fear : 37.61%
Accuracy of class happy : 83.77%
Accuracy of class neutral : 58.98%
Accuracy of class sad : 54.90%
Accuracy of class surprise : 73.47%
Epoch [7/20], Loss: 0.9447, Accuracy: 0.6459
Accuracy of class angry : 55.09%
Accuracy of class disgust : 37.16%
Accuracy of class fear : 41.86%
Accuracy of class happy : 85.13%
Accuracy of class neutral : 62.13%
Accuracy of class sad : 58.34%
Accuracy of class surprise : 76.37%
Epoch [8/20], Loss: 0.8518, Accuracy: 0.6851
Accuracy of class angry : 60.28%
Accuracy of class disgust : 51.38%
Accuracy of class fear : 49.11%
Accuracy of class happy : 86.82%
Accuracy of class neutral : 65.69%
Accuracy of class sad : 62.23%
Accuracy of class surprise : 78.61%
Epoch [9/20], Loss: 0.7524, Accuracy: 0.7185
Accuracy of class angry : 63.21%
Accuracy of class disgust : 57.80%
Accuracy of class fear : 55.80%
Accuracy of class happy : 88.44%
Accuracy of class neutral : 70.06%
Accuracy of class sad : 65.02%
Accuracy of class surprise : 80.85%
Epoch [10/20], Loss: 0.6579, Accuracy: 0.7588
Accuracy of class angry : 68.93%
Accuracy of class disgust : 64.68%
Accuracy of class fear : 62.56%
Accuracy of class happy : 90.24%
Accuracy of class neutral : 73.47%
Accuracy of class sad : 70.08%
Accuracy of class surprise : 83.28%
Epoch [11/20], Loss: 0.5587, Accuracy: 0.7953
Accuracy of class angry : 73.04%
Accuracy of class disgust : 72.48%
Accuracy of class fear : 69.20%
Accuracy of class happy : 91.41%
Accuracy of class neutral : 77.84%
Accuracy of class sad : 74.49%
Accuracy of class surprise : 85.30%
Epoch [12/20], Loss: 0.4837, Accuracy: 0.8257
Accuracy of class angry : 78.03%
Accuracy of class disgust : 77.29%
Accuracy of class fear : 74.23%
Accuracy of class happy : 92.38%
Accuracy of class neutral : 80.32%
Accuracy of class sad : 78.21%
Accuracy of class surprise : 87.67%
Epoch [13/20], Loss: 0.4110, Accuracy: 0.8519
Accuracy of class angry : 80.92%
Accuracy of class disgust : 79.82%
Accuracy of class fear : 77.74%
Accuracy of class happy : 93.26%
Accuracy of class neutral : 83.42%
Accuracy of class sad : 82.13%
Accuracy of class surprise : 90.03%
Epoch [14/20], Loss: 0.3574, Accuracy: 0.8697
Accuracy of class angry : 83.70%
Accuracy of class disgust : 82.80%
Accuracy of class fear : 81.35%
Accuracy of class happy : 94.21%
Accuracy of class neutral : 85.03%
Accuracy of class sad : 83.25%
Accuracy of class surprise : 91.14%
Epoch [15/20], Loss: 0.3144, Accuracy: 0.8893
Accuracy of class angry : 85.51%
Accuracy of class disgust : 82.80%
Accuracy of class fear : 84.01%
Accuracy of class happy : 95.00%
Accuracy of class neutral : 87.93%
Accuracy of class sad : 86.27%
Accuracy of class surprise : 92.27%
Epoch [16/20], Loss: 0.2659, Accuracy: 0.9089
Accuracy of class angry : 88.26%
Accuracy of class disgust : 90.60%
Accuracy of class fear : 87.38%
Accuracy of class happy : 95.33%
Accuracy of class neutral : 89.67%
Accuracy of class sad : 89.27%
Accuracy of class surprise : 93.03%
Epoch [17/20], Loss: 0.2426, Accuracy: 0.9168
Accuracy of class angry : 89.37%
Accuracy of class disgust : 88.99%
Accuracy of class fear : 87.53%
Accuracy of class happy : 96.35%
Accuracy of class neutral : 90.59%
Accuracy of class sad : 89.89%
Accuracy of class surprise : 94.13%
