Start at 04:33:21
Epoch [1/20], Loss: 1.8783, Accuracy: 0.2336
Accuracy of class angry : 3.06%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 3.22%
Accuracy of class happy : 73.97%
Accuracy of class neutral : 12.25%
Accuracy of class sad : 8.95%
Accuracy of class surprise : 2.37%
Epoch [2/20], Loss: 1.8311, Accuracy: 0.2473
Accuracy of class angry : 3.23%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 5.00%
Accuracy of class happy : 74.48%
Accuracy of class neutral : 10.76%
Accuracy of class sad : 10.75%
Accuracy of class surprise : 10.66%
Epoch [3/20], Loss: 1.7967, Accuracy: 0.2642
Accuracy of class angry : 2.93%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 4.32%
Accuracy of class happy : 71.26%
Accuracy of class neutral : 11.58%
Accuracy of class sad : 16.84%
Accuracy of class surprise : 23.91%
Epoch [4/20], Loss: 1.7678, Accuracy: 0.2791
Accuracy of class angry : 3.86%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 5.76%
Accuracy of class happy : 67.80%
Accuracy of class neutral : 13.22%
Accuracy of class sad : 20.75%
Accuracy of class surprise : 33.75%
Epoch [5/20], Loss: 1.7454, Accuracy: 0.2968
Accuracy of class angry : 3.28%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 6.52%
Accuracy of class happy : 65.50%
Accuracy of class neutral : 19.54%
Accuracy of class sad : 24.33%
Accuracy of class surprise : 39.46%
Epoch [6/20], Loss: 1.6978, Accuracy: 0.3269
Accuracy of class angry : 3.54%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 8.64%
Accuracy of class happy : 66.26%
Accuracy of class neutral : 26.91%
Accuracy of class sad : 27.77%
Accuracy of class surprise : 45.11%
Epoch [7/20], Loss: 1.6335, Accuracy: 0.3609
Accuracy of class angry : 5.97%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 10.28%
Accuracy of class happy : 67.17%
Accuracy of class neutral : 34.39%
Accuracy of class sad : 32.64%
Accuracy of class surprise : 49.50%
Epoch [8/20], Loss: 1.5971, Accuracy: 0.3848
Accuracy of class angry : 11.48%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 8.98%
Accuracy of class happy : 69.03%
Accuracy of class neutral : 38.52%
Accuracy of class sad : 34.04%
Accuracy of class surprise : 53.06%
Epoch [9/20], Loss: 1.5324, Accuracy: 0.4077
Accuracy of class angry : 15.35%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 12.23%
Accuracy of class happy : 70.89%
Accuracy of class neutral : 39.63%
Accuracy of class sad : 35.72%
Accuracy of class surprise : 56.15%
Epoch [10/20], Loss: 1.4849, Accuracy: 0.4332
Accuracy of class angry : 23.42%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 12.99%
Accuracy of class happy : 71.22%
Accuracy of class neutral : 42.83%
Accuracy of class sad : 36.88%
Accuracy of class surprise : 60.60%
Epoch [11/20], Loss: 1.4245, Accuracy: 0.4563
Accuracy of class angry : 26.15%
Accuracy of class disgust : 0.46%
Accuracy of class fear : 18.18%
Accuracy of class happy : 72.84%
Accuracy of class neutral : 45.29%
Accuracy of class sad : 38.81%
Accuracy of class surprise : 60.82%
Epoch [12/20], Loss: 1.3600, Accuracy: 0.4862
Accuracy of class angry : 33.05%
Accuracy of class disgust : 5.05%
Accuracy of class fear : 20.87%
Accuracy of class happy : 74.56%
Accuracy of class neutral : 48.09%
Accuracy of class sad : 41.17%
Accuracy of class surprise : 63.22%
Epoch [13/20], Loss: 1.2940, Accuracy: 0.5166
Accuracy of class angry : 37.19%
Accuracy of class disgust : 11.24%
Accuracy of class fear : 25.46%
Accuracy of class happy : 75.73%
Accuracy of class neutral : 50.60%
Accuracy of class sad : 45.21%
Accuracy of class surprise : 65.96%
Epoch [14/20], Loss: 1.2105, Accuracy: 0.5481
Accuracy of class angry : 43.20%
Accuracy of class disgust : 22.25%
Accuracy of class fear : 31.27%
Accuracy of class happy : 77.06%
Accuracy of class neutral : 53.51%
Accuracy of class sad : 46.32%
Accuracy of class surprise : 68.68%
Epoch [15/20], Loss: 1.1141, Accuracy: 0.5905
Accuracy of class angry : 48.04%
Accuracy of class disgust : 29.82%
Accuracy of class fear : 36.71%
Accuracy of class happy : 79.51%
Accuracy of class neutral : 58.72%
Accuracy of class sad : 50.69%
Accuracy of class surprise : 72.46%
Epoch [16/20], Loss: 1.0127, Accuracy: 0.6298
Accuracy of class angry : 55.14%
Accuracy of class disgust : 40.83%
Accuracy of class fear : 42.37%
